Time,Crosshead separation,Load,Extensometer elongation
(sec),(mm),(kN),(%)
33.268,3.8462,48.03393,0.75194
33.368,3.84768,48.03245,0.75454
33.468,3.84916,48.02872,0.75701
33.568,3.8506,48.02575,0.75963
33.668,3.852,48.02057,0.76223
33.768,3.85336,48.01422,0.76473
33.868,3.85472,48.0071,0.76726
33.968,3.85608,48.00394,0.76966
34.068,3.85752,48.00223,0.77212
34.168,3.85888,47.99901,0.77459
34.268,3.86028,47.99818,0.77709
34.368,3.86172,47.99682,0.77952
34.468,3.86316,47.99865,0.78197
34.568,3.86464,47.99989,0.78434
34.668,3.86612,48.00296,0.78679
34.768,3.86764,48.0069,0.78923
34.868,3.86912,48.00974,0.79176
34.968,3.8706,48.01214,0.79421
35.068,3.87212,48.01601,0.79664
35.168,3.87364,48.01936,0.79916
35.268,3.87516,48.02197,0.80164
35.368,3.87668,48.02431,0.80415
35.468,3.8782,48.02756,0.80665
35.568,3.87972,48.03132,0.80916
35.668,3.88124,48.03531,0.81168
35.768,3.88276,48.03811,0.8142
35.868,3.88424,48.03956,0.81673
35.968,3.88572,48.04054,0.81922
36.068,3.88716,48.04062,0.82176
36.168,3.88852,48.03736,0.82429
36.268,3.88992,48.03469,0.82674
36.368,3.89132,48.03322,0.82923
36.468,3.89272,48.03135,0.83169
36.568,3.89412,48.02908,0.83427
36.668,3.89544,48.02336,0.83678
36.768,3.89676,48.01715,0.8393
36.868,3.89808,48.01111,0.8418
36.968,3.8994,48.00705,0.84432
37.068,3.90076,48.00534,0.84672
37.168,3.90216,48.00488,0.84921
37.268,3.90364,48.00737,0.85167
37.368,3.90508,48.0095,0.85419
37.468,3.9066,48.01356,0.85667
37.568,3.90812,48.01717,0.85913
37.668,3.90964,48.02296,0.86171
37.768,3.91112,48.02193,0.86426
